identifiant,timestamp,timestamp_string,nombre_impressions,prix_impression,prix_total,achat,budget_depense,bt,cible
147,1593146549,06-26-2020 06:42:29,3,1,3,0,224,0.05950441567349739,0.05952380952380952
148,1593146553,06-26-2020 06:42:33,2,1,2,0,224,0.05950951809295146,0.05952380952380952
149,1593146557,06-26-2020 06:42:37,1,1,1,0,224,0.05951462138753109,0.05952380952380952
150,1593146563,06-26-2020 06:42:43,8,1,8,0,224,0.05952227797075346,0.05952380952380952
151,1593146568,06-26-2020 06:42:48,2,1,2,1,226,0.05952865996182961,0.05952380952380952
152,1593146570,06-26-2020 06:42:50,1,1,1,0,226,0.05948832321845982,0.05952380952380952
153,1593146573,06-26-2020 06:42:53,2,1,2,0,226,0.05949215063910097,0.05952380952380952
154,1593146575,06-26-2020 06:42:55,4,1,4,0,226,0.059494702526487364,0.05952380952380952
155,1593146579,06-26-2020 06:42:59,6,1,6,0,226,0.05949980695808846,0.05952380952380952
156,1593146583,06-26-2020 06:43:03,4,1,4,0,226,0.05950491226564846,0.05952380952380952
157,1593146588,06-26-2020 06:43:08,3,1,3,0,226,0.059511295132259244,0.05952380952380952
158,1593146592,06-26-2020 06:43:12,4,1,4,0,226,0.059516402411551414,0.05952380952380952
159,1593146594,06-26-2020 06:43:14,0,1,0,0,226,0.05951895637994293,0.05952380952380952
160,1593146596,06-26-2020 06:43:16,4,1,4,0,226,0.05952151056753567,0.05952380952380952
161,1593146600,06-26-2020 06:43:20,0,1,0,1,226,0.05952661960043776,0.05952380952380952
162,1593146604,06-26-2020 06:43:24,4,1,4,1,230,0.05953172951048351,0.05952380952380952
163,1593146609,06-26-2020 06:43:29,1,1,1,0,230,0.05945226648351648,0.05952380952380952
164,1593146611,06-26-2020 06:43:31,4,1,4,0,230,0.05945481863060743,0.05952380952380952
165,1593146616,06-26-2020 06:43:36,1,1,1,0,230,0.05946119995706772,0.05952380952380952
166,1593147653,06-26-2020 07:00:53,7,1,7,1,237,0.06081496443312549,0.05952380952380952
167,1593147656,06-26-2020 07:00:56,3,1,3,1,240,0.060665276100559884,0.05952380952380952
168,1593147662,06-26-2020 07:01:02,9,1,9,1,249,0.060607391466654954,0.05952380952380952
169,1593147665,06-26-2020 07:01:05,5,1,5,1,254,0.06041373858046381,0.05952380952380952
170,1593147668,06-26-2020 07:01:08,3,1,3,1,257,0.06030790854984297,0.05952380952380952
171,1593147672,06-26-2020 07:01:12,4,1,4,1,261,0.060247314898196756,0.05952380952380952
172,1593147674,06-26-2020 07:01:14,5,1,5,1,266,0.06016210161003361,0.05952380952380952
173,1593147679,06-26-2020 07:01:19,3,1,3,1,269,0.06005887263301261,0.05952380952380952
174,1593147683,06-26-2020 07:01:23,0,1,0,1,269,0.05999824245353486,0.05952380952380952
